LAST SEEN   TYPE      REASON              OBJECT                            MESSAGE
49m         Normal    Scheduled           pod/api-66c8cd86fc-slkqj          Successfully assigned resilience/api-66c8cd86fc-slkqj to k3d-resilient-agent-0
2m          Normal    Scheduled           pod/api-66c8cd86fc-8bnps          Successfully assigned resilience/api-66c8cd86fc-8bnps to k3d-resilient-agent-1
2m15s       Normal    Scheduled           pod/api-66c8cd86fc-h59cj          Successfully assigned resilience/api-66c8cd86fc-h59cj to k3d-resilient-agent-0
49m         Normal    Scheduled           pod/api-66c8cd86fc-fld96          Successfully assigned resilience/api-66c8cd86fc-fld96 to k3d-resilient-agent-1
49m         Normal    Scheduled           pod/api-66c8cd86fc-dkb2j          Successfully assigned resilience/api-66c8cd86fc-dkb2j to k3d-resilient-agent-0
2m15s       Normal    Scheduled           pod/api-66c8cd86fc-56nsb          Successfully assigned resilience/api-66c8cd86fc-56nsb to k3d-resilient-agent-0
78s         Normal    Scheduled           pod/api-66c8cd86fc-r5tcl          Successfully assigned resilience/api-66c8cd86fc-r5tcl to k3d-resilient-agent-0
49m         Normal    Scheduled           pod/api-66c8cd86fc-hl89b          Successfully assigned resilience/api-66c8cd86fc-hl89b to k3d-resilient-agent-0
34m         Normal    Scheduled           pod/api-66c8cd86fc-tg2bs          Successfully assigned resilience/api-66c8cd86fc-tg2bs to k3d-resilient-agent-0
2m          Normal    Scheduled           pod/api-66c8cd86fc-cnrjj          Successfully assigned resilience/api-66c8cd86fc-cnrjj to k3d-resilient-agent-2
2m          Normal    Scheduled           pod/api-66c8cd86fc-jb4m9          Successfully assigned resilience/api-66c8cd86fc-jb4m9 to k3d-resilient-agent-2
34m         Normal    Scheduled           pod/api-66c8cd86fc-58vkw          Successfully assigned resilience/api-66c8cd86fc-58vkw to k3d-resilient-agent-0
30m         Normal    Scheduled           pod/api-66c8cd86fc-ckk4h          Successfully assigned resilience/api-66c8cd86fc-ckk4h to k3d-resilient-agent-2
33m         Normal    Scheduled           pod/api-66c8cd86fc-rpz97          Successfully assigned resilience/api-66c8cd86fc-rpz97 to k3d-resilient-agent-0
49m         Normal    Scheduled           pod/api-66c8cd86fc-qq75v          Successfully assigned resilience/api-66c8cd86fc-qq75v to k3d-resilient-agent-2
34m         Normal    Scheduled           pod/api-66c8cd86fc-nx882          Successfully assigned resilience/api-66c8cd86fc-nx882 to k3d-resilient-agent-1
34m         Normal    Scheduled           pod/api-66c8cd86fc-7745t          Successfully assigned resilience/api-66c8cd86fc-7745t to k3d-resilient-agent-1
34m         Normal    Scheduled           pod/api-66c8cd86fc-rtkrg          Successfully assigned resilience/api-66c8cd86fc-rtkrg to k3d-resilient-agent-1
49m         Normal    Scheduled           pod/api-66c8cd86fc-2c85r          Successfully assigned resilience/api-66c8cd86fc-2c85r to k3d-resilient-agent-1
2m15s       Normal    Scheduled           pod/api-66c8cd86fc-sltxw          Successfully assigned resilience/api-66c8cd86fc-sltxw to k3d-resilient-agent-1
34m         Normal    Scheduled           pod/api-66c8cd86fc-nsg2t          Successfully assigned resilience/api-66c8cd86fc-nsg2t to k3d-resilient-agent-2
49m         Normal    Scheduled           pod/api-66c8cd86fc-7x926          Successfully assigned resilience/api-66c8cd86fc-7x926 to k3d-resilient-agent-1
47m         Normal    Scheduled           pod/api-66c8cd86fc-vh7s2          Successfully assigned resilience/api-66c8cd86fc-vh7s2 to k3d-resilient-agent-2
25m         Normal    Scheduled           pod/api-66c8cd86fc-9dhtb          Successfully assigned resilience/api-66c8cd86fc-9dhtb to k3d-resilient-agent-1
20m         Normal    Scheduled           pod/api-66c8cd86fc-8gcxb          Successfully assigned resilience/api-66c8cd86fc-8gcxb to k3d-resilient-agent-1
2m          Normal    Scheduled           pod/api-66c8cd86fc-crxwj          Successfully assigned resilience/api-66c8cd86fc-crxwj to k3d-resilient-agent-0
34m         Normal    Scheduled           pod/api-66c8cd86fc-mrrmj          Successfully assigned resilience/api-66c8cd86fc-mrrmj to k3d-resilient-agent-0
49m         Normal    Pulled              pod/api-66c8cd86fc-hl89b          Container image "rsl/api:latest" already present on machine
49m         Normal    SuccessfulCreate    replicaset/api-66c8cd86fc         Created pod: api-66c8cd86fc-dkb2j
49m         Normal    SuccessfulCreate    replicaset/api-66c8cd86fc         Created pod: api-66c8cd86fc-fld96
49m         Normal    SuccessfulCreate    replicaset/api-66c8cd86fc         Created pod: api-66c8cd86fc-hl89b
49m         Normal    Pulled              pod/api-66c8cd86fc-fld96          Container image "rsl/api:latest" already present on machine
49m         Normal    Pulled              pod/api-66c8cd86fc-dkb2j          Container image "rsl/api:latest" already present on machine
49m         Normal    Started             pod/api-66c8cd86fc-hl89b          Started container api
49m         Normal    Started             pod/api-66c8cd86fc-fld96          Started container api
49m         Normal    Created             pod/api-66c8cd86fc-fld96          Created container api
49m         Normal    Started             pod/api-66c8cd86fc-dkb2j          Started container api
49m         Normal    Created             pod/api-66c8cd86fc-dkb2j          Created container api
49m         Normal    Created             pod/api-66c8cd86fc-hl89b          Created container api
49m         Normal    SuccessfulCreate    replicaset/api-66c8cd86fc         Created pod: api-66c8cd86fc-slkqj
49m         Normal    Pulled              pod/api-66c8cd86fc-slkqj          Container image "rsl/api:latest" already present on machine
49m         Normal    Pulled              pod/api-66c8cd86fc-qq75v          Container image "rsl/api:latest" already present on machine
49m         Normal    SuccessfulCreate    replicaset/api-66c8cd86fc         Created pod: api-66c8cd86fc-qq75v
49m         Normal    Pulled              pod/api-66c8cd86fc-2c85r          Container image "rsl/api:latest" already present on machine
49m         Normal    Pulled              pod/api-66c8cd86fc-7x926          Container image "rsl/api:latest" already present on machine
49m         Normal    SuccessfulCreate    replicaset/api-66c8cd86fc         Created pod: api-66c8cd86fc-7x926
49m         Normal    Created             pod/api-66c8cd86fc-7x926          Created container api
49m         Normal    Started             pod/api-66c8cd86fc-2c85r          Started container api
49m         Normal    Started             pod/api-66c8cd86fc-slkqj          Started container api
49m         Normal    Created             pod/api-66c8cd86fc-2c85r          Created container api
49m         Normal    Created             pod/api-66c8cd86fc-slkqj          Created container api
49m         Normal    Started             pod/api-66c8cd86fc-qq75v          Started container api
49m         Normal    Created             pod/api-66c8cd86fc-qq75v          Created container api
49m         Normal    Started             pod/api-66c8cd86fc-7x926          Started container api
47m         Normal    Pulled              pod/api-66c8cd86fc-vh7s2          Container image "rsl/api:latest" already present on machine
47m         Normal    Killing             pod/api-66c8cd86fc-2c85r          Stopping container api
47m         Normal    Started             pod/api-66c8cd86fc-vh7s2          Started container api
47m         Normal    Created             pod/api-66c8cd86fc-vh7s2          Created container api
43m         Normal    Killing             pod/api-66c8cd86fc-hl89b          Stopping container api
43m         Warning   Unhealthy           pod/api-66c8cd86fc-dkb2j          Readiness probe failed: Get "http://10.42.0.60:8000/health": dial tcp 10.42.0.60:8000: connect: connection refused
43m         Warning   Unhealthy           pod/api-66c8cd86fc-slkqj          Readiness probe failed: Get "http://10.42.0.61:8000/health": dial tcp 10.42.0.61:8000: connect: connection refused
43m         Normal    Killing             pod/api-66c8cd86fc-dkb2j          Stopping container api
43m         Normal    Killing             pod/api-66c8cd86fc-vh7s2          Stopping container api
